명칭,우편번호,주소,개요,문의 및 안내,쉬는날,체험안내,체험가능연령,이용시기,이용시간,주차시설,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
기장향교,46053,부산광역시 기장군 기장읍 차성로417번길 35,"1440년(세종 22)에 현유(賢儒)의 위패를 봉안, 배향하고 지방의 중등교육 및 지방민의 교화를 위하여 창건되었다. 임진왜란 때에 소실되었다가 1617년에 지방유림의 공의로 복원하였으며, 1974년에 대성전을 보수하였다. 현존하는 건물로는 대성전·명륜당·동재(東齋)·서재(西齋)·풍화루(風化樓)·신삼문(神三門)·세심문(洗心門) 등이 있다. 정면 3칸, 측면 2칸의 맞배지붕으로 된 대성전에는 5성(五聖), 송조4현(宋朝四賢), 우리나라 18현(十八賢)의 위패가 봉안되어 있다. 조선시대에는 국가로부터 전답과 노비·전적 등을 지급받아 교관이 교생을 가르쳤으나, 현재는 교육적 기능은 없어지고 봄·가을에 석전(釋奠)을 봉행(奉行)하고 초하루와 보름에 분향을 올리고 있으며, 전교(典校) 1명과 장의(掌議) 수명이 운영을 담당하고 있다.<br>",기장군 문화관광과 051-709-4062 / 051-721-3287,,"경전(논어, 맹자)<br />
특강(시민정신)<br />
인성예절(충효예)<br />
한시한문(당송한시와 한문)<br />
전통다도(다도예절)<br />
서예(서도)<br />
사군자(사군자필법)",,,,,없음,없음,,
부산 부평 족발 골목,48980,부산광역시 중구 광복로12번길 3,"씨앗호떡, 곤약 어묵, 매운 떡볶이, 비빔당면, 유부주머니, 밀면, 돼지국밥 등 말이 필요없는 부산의 푸짐한 먹거리. 이 중에서도 말이 필요없는 별미로 첫손에 꼽히는 냉채족발. 매콤한 겨자소스에 당근과 오이 등 각종 야채와 해파리를 올려 맛본다, 덕분에 느끼한 것은 잘 먹지 못하는 젊은 아가씨들도 칼큼한 겨자 소스와 야채의 힘을 빌어 마음껏 맛볼 수 있다. ‘부평 족발골목’ 이라는 이름처럼 부평동 자락에 족발집들이 모여있다. 국제시장을 구경하다 광복로를 따라 올라가면 여기저기 ‘족발’ 간판이 내걸린 부평동 사거리와 닿는다.<br>",051-441-3121,,,,,,,없음,없음,,
부산 자갈치 양곱창 골목,48982,부산광역시 중구 구덕로 73(남포동6가),"부산 여행의 양대산맥 해운대와 남포동. 먹거리 여행의 메인은 남포동이고, 그 중에서도 자갈치 시장이 제일로 꼽힌다. 왜냐, 자갈치시장에 가면 각종 건어물과 생선은 물론 다양한 회부터 생선구이까지 맛볼 수 있기 때문이다. 어디 그뿐이랴. 당연히 ‘회’만 있으리란 생각을 보기좋게 날려버리는 양곱창 골목까지 품고 있다. 애주가들에게는 이곳이 지상낙원이자 천국이다. 자갈치 시장을 여러 번 구경했다면 ‘생선’에서 벗어나 신동아시장 주변에 자리한 양곱창집으로 발길을 돌려보자. 연탄불에 구워내는 고소하고 쫄깃한 양곱창을 맛볼 수 있다.<br>",,,,,,,,없음,없음,,
부산 감천문화마을,49368,부산광역시 사하구 감내2로 203,"감천문화마을은 1950년대 6.25 피난민의 힘겨운 삶의 터전으로 시작되어 현재에 이르기까지 부산의 역사를 그대로 간직하고 있는 곳이다. 산자락을 따라 질서정연하게 늘어선 계단식 집단 주거형태와모든 길이 통하는 미로같은 골목길의 경관은 감천만의 독특함을 보여준다.<부산의 낙후된 달동네였지만 문화예술을 가미한 도시재생사업을 추진하면서 지금은 연간 185만명의 국내외 관광객이 다녀가는 대표 관광명소가 되었다. 산비탈을 따라 계단식으로 들어선 아름다운 파스텔톤의 집들과 미로와 같은 골목길이 있어 한국의 마추픽추, 산토리니로 불린다. 2016년 대한민국 공간문화대상 최고상인 대통령상을 수상하기도 했다.감천문화마을에서는 아름다운 자연과 어우러진 그림같은 마을의 풍경을 즐기면서, 골목골목 설치된 다양한 형태의 작품을 감상할 수 있으며, 감천문화마을 내 입주작가들의 공방을 통해 다양한 공예 체험도 가능하여 관광객들이 끊임없이 찾고 있다.",051-204-1444,연중무휴,"시간 : 09:00 ~ 16:00(시작시간 기준)<br />
장소 : 감내골 행복발전소, 감내어울터<br />
대상 : 유치원,초중고,일반시민,단체 등<br />
<br />
※ 감천문화마을 안내센터(Tel. 051-204-1444 / 070-4485-7405)<br />
※ 인터넷 : 홈페이지 체험신청 바로가기 <br />
※ 입주작가 프로그램의 경우 작가에게 직접 문의해 주세요.",전연령,,"※ 마을의 경우 연중무휴로 관람 가능하지만 실제 주민의 거주공간이므로 조용하고, 질서있는 관람 요망",,없음,없음,,"이용가능시설:* 감천문화마을 안내센터 : 방문객을 위한 관광정보 및 편의공간 제공, 골목투어지도 판매, 물품보관소 운영 등<br />
* 감내어울터 : 옛 목욕탕 건물을 리모델링하여 만든 커뮤니티 센터, 카페, 작은 갤러리 운영, 게스트하우스 운영, 옥상 전망대 등<br />
* 하늘마루 : 감천문화마을 관련 자료 전시, 부산항과 감천항, 용두산을 바라볼 수 있는 전망대<br />
* 작은박물관 : 감천의 옛 사진과 생활용품들이 테마별로 전시, 감천문화마을 조성 과정 안내<br />
* 아트숍 : 감천문화마을 입주작가와 주민작가들의 도자기 공예, 목공예, 천연염색공예 등 작품 판매<br />
* 미니숍 : 감천문화마을의 관광상품 판매 <br />
* 감내카페 : 빈집을 리모델링하여 만들어진 카페<br />
* 감내맛집 : 감천문화마을 주민협의회에서 운영하는 마을기업<br />
* 감천아지매밥집 : 엄마손협동조합에서 운영하는 감천문화마을 마을기업<br />
* 입주작가 공방 : 도자기, 천연염색, 생태공예, 서양화 등 감천문화마을 내 입주 작가의 작품 전시 및 판매
외국어 안내서비스:문화관광해설사 사전 예약 필수 (문의 : 051-780-2177)
한국어 안내서비스:* 문화관광해설사 (051-780-2177), 마을안내해설 (051-291-1444) 예약필수<br />
* 10인 이상 방문시 예약 필수
"
아이리,46237,부산광역시 금정구 북문로 73,허브랑야생화는 부산 금정산에 위치한 사설 숲 체험원으로 원 내에는 금정산의 아름다운 경관과 함께 천여 개의 편백 나무숲과 자작나무 정원 등 숲 체험과 산림욕을 할 수 있는 공간과 계절별로 다양하게 허브와 야생화를 보고 느끼고 체험할 수 있는 정원이 어울려져 있다. 자연체험으로 건강한 교감을 통해 자연 속에서 힐링을 느낄 수 있다. <br>,051-515-0130,,,전연령,,"- 평일 10:00 ~ 18:30 <br>
- 주말/공휴일 10:00 ~ 19:30<br>",,없음,없음,,"화장실:있음
내국인 예약안내:전화예약 가능
"
부산 복천동 고분군,47802,부산광역시 동래구 복천로 66,"* 가야 시대를 만날 수 있는, 부산 복천동 고분군 *<br /><br />부산 복천동 일대의 구릉 위에 있는 가야 때 무덤들이다. 여러 차례에 걸친 발굴조사로 40여 기의 무덤이 확인되었으나, 대부분의 무덤은 아직도 땅 밑에 남아있다. 무덤의 형태는 땅을 파서 넓은 방을 만들고 나무관을 넣은 덧널무덤(토광목곽묘), 땅 속에 네모난 돌로 벽을 쌓고 천장을 덮어 만든 구덩이식 돌방무덤(수혈식석실묘), 땅 속에 시체를 바로 묻는 널무덤을 비롯해 여러 가지 형식의 무덤들이 있다. 구릉의 원래 이름을 따서 학소대(鶴巢臺)고분군이라고도 한다. 1969∼1972년 동아대학에 의해 10여 기가 최초로 발굴된 이래, 부산대학이 1974년 구릉 동쪽 사면에 있는 3기의 고분을 발굴하였다. <br />
이후 1980∼1994년 부산대학박물관과 부산시립박물관에 의해 6차에 걸쳐 100여 기가 넘는 고분군이 발굴조사되었다. 이 무덤들에는 도굴되지 않은 큰 무덤이 많아 2,000점 이상의 다양한 유물이 출토되었다. 굽다리접시(고배), 목항아리(장경호), 토제등잔을 비롯한 토기류는 4∼5세기 낙동강 하류지역의 특징적인 토기들이다. 철제 갑옷·투구류도 다양하게 출토되었다. 특히 4호 무덤에서 나온 단갑은 우리나라에서 처음 발견된 갑옷이다. 11호에서 출토된 괘갑은 부속 장식까지 완전하게 갖춘 상태로 발견되었는데 이런 완제품은 우리나라에서 처음 발견되는 것이다. 10호 무덤에서 발견된 말갖춤(마구)는 완전히 갖추어진 실전용으로 처음 발견되었다. 이러한 갑옷·투구류는 고구려 고분벽화에 그려져 있는 것과 같다. 복천동 무덤에서는 새로운 무덤양식을 발견하여 무덤의 변천과 흐름 연구에 중요한 실마리를 제공해 주고 있다.<br />
* 부산 복천동 고분군의 의의 *
울산 하대고분군, 김해 대성동고분군, 함안 도항리고분군 등에서도 이와 비슷한 예가 보인다. 처음에는 시신이 매장된 으뜸덧널[主槨]과 유물이 매장된 딸린덧널[副槨] 모두가 덧널인 양식이 이용되다가, 으뜸덧널이 구덩식돌덧널이고 딸린덧널이 덧널인 것으로 변해가고, 마지막에는 딸린덧널이 폐지된 단독 구덩식돌덧널로 되었다가 곧 앞트기식돌방으로 교체되어가는 과정을 보여준다. 발굴된 상당량의 토기는 신라 ·가야 토기 편년의 기준이 된다. 또한, 특징적으로 갑옷 ·투구가 많이 출토되었다. 갑옷 ·투구 이외에도 말갑옷[馬甲], 말머리가리개[馬胄] 등 철로 만든 무기가 상당수 출토되어서 당시 말을 이용하여 전투했음을 말해주고 있다. 매장시설의 바닥에는 덩이쇠[鐵鋌]가 1∼3열씩 깔리기도 한다. 《삼국지》 동이전 변한조에 철을 화폐 대신으로 쓴다는 기록이 있는데, 덩이쇠가 다른 철제용품을 만드는 재료의 역할을 한다는 점을 감안한다면 당시 화폐로 쓰였을 가능성이 많다.",051-554-4263,,,,,,,없음,없음,,
더베이101,48100,부산광역시 해운대구 동백로 52,"아름다운 바다와 산 그리고 현대적인 건물들이 공존하는 세계적인 휴양지, 해운대. 문화와 예술을 위한 공간, 바다가 주는 흥분을 조금 더 느낄 수 있는 공간, 누구나 머물 수 있는 재미있는 공간, 더베이는 해운대에 위치한 복합문화예술공간으로, 많은 관광객이 야경명소로 찾는 곳이다.<br>",051-726-8888,연중무휴,,,,08:00 ~ 24:00,,없음,없음,,"이용가능시설:요트클럽<br />
동백잡화점<br />
싸이드커피<br />
대도식당<br />
핑거스앤챗 키오스크<br />
더그랜드카페
"
부산영화촬영스튜디오,48090,부산광역시 해운대구 해운대해변로 52(우동),"<strong>오늘은 나도 영화감독!</strong><br /><br />부산영화촬영스튜디오는 국내 스튜디오 중 단일규모로는 최상의 사운드 스테이지를 보유하고 있으며, 완벽한 방·차음과 특수촬영시설 및 각종 부대시설을 고루 갖추고 있다. 부산영상위원회에서 운영하는 견학 프로그램을 이용하면 일부 시설 관람이 가능하다. 매주 금요일에 영화 산업 전반에 관한 이해와 더불어 영화 세트장 견학이 가능하다.<br>",051-720-0323,"토,일요일","견학 스튜디오 : 부산영화촬영스튜디오<br />
견학 가능 시간 : 일반인 견학 매주 금요일 14:00 ~ 17:00<br />
견학 문의 : 온라인 신청 / 스튜디오운영 담당자 051-720-0381<br />
소개내용 : 부산영상위원회 연혁 및 활동사항, 스튜디오 시설에 대한 소개<br />
소요시간 : 40분 내외",누구나,,월~금 09:00~18:00 (견학 매주 금요일 14:00 ~ 17:00 / 단체 일정 협의),인근 공영주차장 이용,없음,없음,,"입 장 료:무료
내국인 예약안내:사이트에서 최소 7일전 견학 신청
"
아홉산숲,46050,부산광역시 기장군 철마면 미동길 37-1,"부산 기장 철마면 아홉산 자락에 위치한 숲으로, 훼손되지않은 자연환경과 생태를 만날 수 있는 곳이다. 대나무숲, 편백나무 숲, 삼나무, 은행나무 등의 인공림과 수령 100~300년 되는 금강송 등을 포함한 천연림이 아홉산숲을 구성한다. 총면적이 무려 52만 ㎡에 이르며, 약 400년의 세월을 지켜온 사유림으로, 자연보호를 위하여 사전 예약된 제한된 인원만이 출입이 가능하다. 놀이공원이나 유원지와 다르게 자연을 훼손하지 않는 선에서만 관람이 가능하지만, 아이들을 위한 숲 속 체험 및 놀이 프로그램도 마련되어 있으며, 숲 해설을 들을 수도 있다.",051-721-9183,연중무휴,생태문화숲체험 <br />,,,9시 ~ 18시 (입장마감 16시 30분),,없음,없음,,"입 장 료:입장료 1인 5,000원 (5세부터) <br />
※ 10인 이상의 단체는 반드시 사전 예약 <br />
※ 평일 방문시 사전에 개방여부 확인 (아홉산 숲 홈페이지- 방문예약게시판에 확인)
"
F1963,48212,부산광역시 수영구 구락로123번길 20,"<strong>와이어 공장에서 문화 공장으로 시크한 변신</strong><br /><br />고려제강은 세계 최대 특수 선재 회사로, 2008년까지 현수교, 자동차 타이어 등에 들어가는 와이어로프를 이곳에서 생산했다. 현재 리모델링을 통해 공연, 전시, 학술회의를 할 수 있도록 바꿨고, 맥주 바와 커피숍도 입점했다. 인더스트리얼 인테리어의 진수를 맛볼 수 있다.<br>",051-756-1963,* 업체별 휴무 안내는 F1963 홈페이지 참조,"·프로그램 : 다양한 전시, 공연, 북콘서트, 페스티벌 등 월별 프로그램 상이</br>
- 공장 가동 당시의 내부 및 전시물 등 관람 가능 </br>
- 카페(테라로사), 서점, 복순도가, Praha993(브루어리&펍), 뜰과숲원예점 등 매장별 운영시간 상이",누구나,,"매일 09:00~21:00<br>
* 운영 시간 종료 후 상업시설, 편의시설, 주차장의 출입 및 이용 통제",있음,없음,없음,,"상점정보:테라로사(커피 전문점), Praha993 (체코 전통 맥주펍), Yes24 중고서점, 복순도가, 국제갤러리 부산점, 뜰과숲예원점
입 장 료:무료
"
